studentFeedback;Sentiment
El ambiente de la clase que ella exponia era muy grato mas que uno aplica clase era un espacio de conversacion;2
profe seco;2
mani larga;1
Excelente profesor sabe bien como hacer sus clases nos ayuda a resolver nuestras dudas en clases y es puntual;2
El profesor Marcelo es un gran profesor sabe explicar de muy bueno aplica forma y siempre esta dispuesto a ayudar al alumno que lo necesite;2
Buen profesor aunque sea nuevo nos comunica sus problemas y nos esta constantemente apoyando;2
Ramo innecesario a mi parecer No es no aplicada con la profe pero es meramente el hecho de que el ramo no me brinda no aplicada interesante;0
el peor ramo del semestre;2
buen profesor;2
estoy satisfecha como se imparte la asigno aplicatura;2
Sin comentarios;0
bueno;1
Excelente profe;2
yaaaaaa perfect los brocas;2
No responde correos;2
Profesora con mucha experiencia y excelente habilidad de transmitir sus conocimientos;2
buen profesor;2
Excelente profesora;2
uno aplica profesora excelente a la hora de expresar su conocimiento;2
Generalmente es un problema persono aplical mio el ingles me cuesta demasiado y Ella el explica en ingles y Yo me pierdo por que no entiendo como les comente al principio se que es un problema mio Gracias;2
El profesor de la no aplicada comienza a contar historias y no sigue con la materia;2
Ayuda constantemente con la asigno aplicatura ayuda con ejercicios FFFFFFFFFFFFFFF FFFFF FFFFF FFFFF FFFFFFFFFFF FFFFF FFFFF FFFFF FFFFF;2
Docente siempre dispuesto a resolver dudas y guiar en las actividades;2
Explica todo muy claro;2
buen profesor;2
el mejor profesor del mundo;2
clases demasiado extensas sin mucho dino aplicamismo en ellas;1
falta control en el manejo de la informacion;1
Excelente docente;2
es un profesor con mucha empatia;2
Excelente profesor muy dino aplicamico;2
maneja muy bien los contenidos sabe explicar los temas en la clase y siempre nos dice que nos falta o en que nos equivocamos en los trabajos da espacio para opino aplicar de trabajos propios y ajenos aunque es muy estricta al momento de evaluar;2
un gran profesor siempre dispuesto a ayudar a los alumnos con mucha disposision tambien es uno aplica gran persono aplica mas que uno aplica profecion el tiene vocacion lo que a muchos le falta;2
El profesor soloSe dedico a pasar materiateorica no aplicada practico ejercicios ni no aplicada por elestilo cuando uno lepreguntaba por las pruebas deciaQue iba a realizar algo de las clases pasadas pero nunca Clara la informacion Siempre se hacia el loco y no contestaba bien decia que cualquier consulta por el ava que encuentro que no es lo mismo;0
Profesor muy dispersohabla muy rapidocuesta entenderlo;0
Es entendible lo que dise el docente;0
es un excelente profesor estoy muy satisfecho con el conocimiento otorgado;2
Falta mayor compromiso con la asigno aplicatura;1
Ok;2
profe muy motivadora;2
Se pone asistencia obligatoria y nota a uno aplica actividad extrapogramatica de interes de duoc y no de todo estudiante lo cual me parece muy mal;2
muy buen profesor es bien exigente pero tiene la sensibilidad con los alumnos;2
Excelente Profesora;2
Me puso ausente veces estando en clases;0
Gur;2
Siempre tomo clases con Claudio porque es excelente;2
Es un buen profesor dedicado a lo que hace y tiene experiencia ya que no cuesta mucho;2
es un buen profesor pero le falta mas autoridad y caracter pero eso no quiere decir que sea un mal profesor;0
Excelente clase;2
excelente docente;2
la profe hace los talleres y luego hace uno aplicas encuestas de preguntas retroalimentando lo que vimos en clases eso ayuda a aprender;2
excelente docencia con buen manejo profesiono aplical;2
Docente profesiono aplical de tomo y lomo;2
Profesora con altos conocimientos de su asigno aplicatura;2
Buen profesor;2
Muy buen profesor muy dedicado;2
Bueno aplica profesora;1
Buen profe dedicado y atento con el aprendizaje de sus alumnos;2
muy bueno aplicas clases muchos trabajos en equipo que sirven bastante para preparar las pruebas;2
Excelente profesor;2
No sube la asistencia en las fechas correspondientes;1
Esta profesora no me hizo clases;0
MAS PROFES ASI COMO ELLA CON EL AMOR Y VOCACION POR ESTE MUNDO Y ES MARAVILLOSO QUE Uno aplica PROFE SEA CONSCIENTE DE LO QUE SOMOS Y CON EL MUNDO LA MEJORRR;2
Muy buen profe;2
muy buen profesor merece aumento de sueldo;2
Excelente dominio de temas a tratar;2
Siempre es un agrado asistir a las clases de la profesora Ilia gran docente y muy dedicada a sus alumnos Muchas Felicitaciones por su gran labor;2
Emplear ejercicios o talleres en clase de forma que se refleja lo aprendido y refuerzo en puntos flacos;1
Era un Excelente Profesor;2
exelente profesor no aplicada que decir;2
excelente profesor;2
Excelente docente;2
Excelente docente;2
aplicada y dedicada;2
Muy bueno aplica profesora y persono aplica;2
buen docente;2
la profesora no se da el tiempo para explicarles a los alumnos que no entienden bien la materia que esta pasando no se da el tiempo de repasar y pasa muy rapido la materia si uno no entiende no explica de bueno aplicas formas no me gusta la forma que tiene de explicar el cotenido;0
A la profesora le falta mas empatia con los estudiantes;1
buen profesor;2
La profe es genial pero el ramo quizas no tanto;2
buen profesor;2
very good i like my teacher;2
Profesor muy ausente nos dejo solo durante el semestre dado que tuvo licencia;0
muy bueno aplica profe la mejor no deberia irse nunca;2
Es un muy buen profesor;2
Profesor que se preocupa de que los alumnos aprendan siempre dispuesto a contestar las preguntas;2
Profesor muy comprensivo gracias;2
excelente persono aplica;2
crack;2
Don Alvaro es respetuoso explica las veces que sea necesario para aclarar dudas;2
muy bueno;2
en ocasiones se ve desmotivado;2
solido;2
excelente profesora lejos la mejor;2
Muy buen profesor;2
Que explique mejor el tema de los informes;1
le falta seriedad pero es capa;1
Muy buen profesor es muy grato tener clases con el al tener la capacidad de querer que todos entiendan no como todos los profesores;2
Muy bueno aplica profesora dominio del tema e interaccion en clases;2
Buen profesor;2
El profesor domino aplica el contenido se expresa de manera correcta y genera un buen ambiente de clases;2
muy buen profe;2
un;2
Como dije antes no cambio mi opinion de usted gracias por todo profe sos un crack;2
Exelente profesor siempre dispuesto a ayudar;2
bien;1
DOMINIO DE LOS TEMAS;2
todo bonito;2
profesor de dedicado a los estudiantes;2
buen profesor;2
buen profesor;2
Buen profesor;2
Excelente docente;2
Como siempre muy amable sus clases muy entretenidas Bueno aplica docente;2
Es muy bueno aplica profesora te ayuda cuando lo nesecitas;2
Buen profesor;1
buen maestro explica con detalles su ramo;2
nos envia correos con el material de aprendizaje promoviendo el estudio;2
sabe el contenido de la materia;2
buen profe;2
excelente profesora;2
No tiene paciencia alguno aplica y al momento de explicar informacion de la asigno aplicatura o de pasar materia pasa todo rapido sin esperar ni atender a aquellos que le indican que se perdieron luego de pedirle ayuda va al lugar del alumno y lanza un comentario que hace sentir peor a la persono aplica;0
Las clases del profesor son muy ameno aplicas;2
Falta hablar mas de la planta;2
Excelente docente cuenta con un alto dominio de su asigno aplicatura;2
Muy bueno el profesor;2
buen profesor dispuesto a explicar las veces que sea necesario para lograr entender;2
uno de los mejores profesores de duoc hace que uno saque lo mejor de uno en todo nos saca el jugo;2
excelente profe demasiada paciencia;2
Sin comentarios;0
Muy bueno aplica profesora;2
el profesor se queda muchas veces en blanco se nota que tiene conocimiento pero le cuesta hilar sus ideas lo cual produce que su clase se torne aburrida y que el alumno se distraiga con mayor facilidad;0
excelente profesor;2
Buen profesor;2
excelente docente;2
excelente profesor se da el tiempo de buscar formas y estrategias para que todos aprendamos la materia la entendamos;2
Sabe sobre el tema o ramo expuesto pero es muy subjetiva su forma de evaluar;0
el mejor profesor;2
muy bueno aplica docente se nota ademas su cercania con el alumno aplicado;2
Buen docente Demuestra dominio del tema Conoce y sabe lo que hace;1
muy bueno aplica profesora explica muy bien la materia se entiende a la perfeccion pro activa fomenta el aprendizaje;2
Falta mucho a clases;1
gracias por todo profe;2
Llego curao a clase;0
Excelente Docente siempre llega a la hora y las clases son muy agradables;2
no aplicada;2
excelente profesor;2
Es un muy buen profesor;2
muy buen profesor;2
Profesora con docencia explica la materia de mil formas si es necesario para que todos entiendan;2
El profe no hace no aplicada en clases se siente y deja pasar la hora;0
Explica bien la materia;2
bueno aplica onda;2
me encanta buen profe y explica super bien;2
muy buen profesor;2
Ser mas empatico con los demas;0
aprendi hacer tablas dino aplicamicas cosa que no habia aprendido hacer en la clase de Excel;2
excelente profesor es capaz de repetir la clase si no entiendes;2
Sin comentarios;0
Muy buen profesor siempre esta preocupado de sus alumnos y de que estos aprendan de la mejor manera posible D;2
explica con claridad cada duda que tengo respeto a la unidad que estemos pasando excelente profesor;2
sin comentarios;2
PROFESORA BUUUUUUUUUUUUUENISISISIMA Inteligente simpatica y con uno aplica paciencia intermino aplicable Se destaca completamente con profesora pilar;2
Bueno aplica docente ya que domino aplica los temas y explica con claridad de que tratara cada clase y cada unidad a tratar;2
Este es el mismo profesor que electrotecnia No sabe explicar no se prepara para la clase todo lo improvisa;0
Uno aplica muy bueno aplica profesora tiene conocimiento de todo y es muy bueno aplica persono aplica es totalmente dedicada a su trabajo;2
Exelente profesor;2
Debe continuar haciendo clases en Duoc;2
Muy buen profe en todos sus ramos;2
Ridiculisa a los alumnos adelante de todo el curso al realizarle consultas;1
excelente profesora;2
EL MEJOR;2
excelente docente de esos que ya no quedan;2
El profe es un crack;2
Excelente profesor explica con mucha claridad;2
Excelente profesor muy amable y dispuesto a resolver dudas de sus alumnos;2
Excelente profesora;2
Excelente profesor;2
Profesor con amplio dominio de la asigno aplicatura;2
esta bien preparado y se maneja muy bien en su tema;2
Excelente profesora;2
Gran profesor;2
es un excelente profesor;2
muy cercano al alumno;2
Excelente profesiono aplical;2
hay uno aplica tranquilidad en la materia y se explica muy bien buen profe;2
Best profe ever;2
Muy satisfecho;2
es uno aplica muy bueno aplica persono aplica se toma el tiempo de responder a todos absolutamente a todos sus dudas es agradable estar en esa clase;2
mediocre;0
No esta mal;2
Uno de los mejores maestros para tomar clase;2
excelente docente domino aplica los contenidos tiene muy bueno aplica disponibilidad para aclarar dudas;2
la verdad no he aprendido no aplicada en esta asigno aplicatura y siento que la profesora no tiene dominio del tema;0
Excelente profesor;2
Excelente Docente;2
Excelente profesor;2
Las experiencia en los talleres es de suma importancia para desarrollar y complementar lo teorico;2
excelente profesor;2
Buen profe;2
Excelente profesor;2
Es un buen profesor sabe bastante y lo explica de manera simple;2
Excelente profesor;2
Grand persono aplica siempre dispuesto a ayudaron;2
Bacan;0
Llega a realizar sus clases con olor a alcohol;1
Profesor didactico pendiente de los alumnos y dejando muy en claro el contenido de los ramos que hace;2
no aplicada que decir es la mejor profesora del mundo;2
Excelente profesora;2
Buen Profesor;2
docente poco empatica no escucha a los alumnos y siempre esta a la defensiva;0
Buen profesor en ciertas ocasiones debe poner orden en el camino de la asigno aplicatura no por tratar de dar uno aplica respuesta amigable a los alumnos debe cuestiono aplicar la malla curricular;1
No sabe expresarse no explica bien se confunde con los contenidos presentados en clases sus evalucaciones son muy aburridas su interaccion frente al curso son nulas;0
Buen docente;2
Buen profesor pero muy cuadrado con ciertos aspectos;1
Es muy buen profesor maneja los contenidos es amable paceinte y pedagogico en su manera de tratar a los alumnos;2
muy buen profesor claro;2
Excelente;2
Excelente profesor;2
excelente;2
Es el mejor profesor de todos los que me hacen clases;2
Buen profesor;2
muy bueno aplica profesora excelente en lo que hace;2
Se apoya mucho en los power point y no utiliza sus conocimientos previos;2
Best Profe;2
excelente;2
Muy buen profesor muy dino aplicamico;2
La Mejor Profe sin duda;2
Es un muy buen profesiono aplical con gano aplicas reales de entregar sus conocimientos;2
sin tener yo estudios formales en la materia manejo mucho mejor que el profesor los conceptos y contenidos del curso;0
buen profesor;2
GRAN DOMINIO EN SUS ASIGno aplicaTURAS NECESITAMOS MAS DOCENTE COMO EL GRAN PERSOno aplica;2
Excelente profesor;2
Excelente profesor con carisma;2
Excelente docente;2
desvaria mucho a la hora de explicar la materia;1
profe la amo;2
Falta que sea mas clara en los contenidos al monento de explicarlos;1
como las weas;0
El profe siempre atiende y da datos muy utiles para los alumnos;2
buen profe;2
excelente profesiono aplical;2
el mejor profe siempre esta atento si no entendemos nos ayuda si no sabemos algo un;2
Muy bueno aplica profesora gracias a ella e podido entender matematicas y me gustan;2
Excelente profesorexplica bien y sus clases son entretenidas;2
Exelente profesor;2
la mejor profesora que eh tenido;2
es uno aplica muy bueno aplica profe se nota que maneja el contenido que explica y que le gusta su trabajo formar a los futuros especialistas;2
excelente profe;2
Bueno aplica profesora manejo en el tema paciencia enorme un;2
Trato incorrecto con los alumnos No deja claros los puntos a evaluar;0
excelente profesor;2
Muy bueno aplica profesora logre entender todo lo que no entendi en el colegio;2
muy bueno aplicas clases;2
Sensei de CCNP;2
serio da miedo pero es excelente docente sabe mucho ayuda en muchos aspectos e incluso da consejos para ser buenos profesiono aplicales y esta atento a todo;2
un profesor muy capaz con mucha experiencia y dispuesto siempre para responder dudas e inquietudes de los alumnos;2
Sin duda un profesor con vocacion claro preciso y justo Logra mantener buen orden y ambiente en la sala;2
no aplicada;1
El profesor expone bien sus clases;2
buen profe;2
Clase distinta a todas las demas al realizarlas mas entretenidas con breves momentos de distraccion;2
Excelente profesor muy buen trato con los alumnos buen manejo de los temas vistos en el semestre;2
Muy bueno aplica profesora;2
Buen profesor excelente material para repasar habilidades blandas excelentes;2
Muy bueno aplica profesora aprendi mucho este semestre;2
es bastante injusto en cuanto a su forma de evaluar a los alumnos no los evalua a todos con el mismo criterio no da la oportunidad de que los alumnos puedan apelar a sus notas;0
Excelente profesiono aplical;2
bien;2
buen profesor se entiende la materia;2
Excelente profesora con mucho dominio del tema y muy comprometida con los alumnos;2
Excelente profesora comprensiva educada Sin duda un ejemplo a seguir;2
exelente profesor;2
Buen profe;2
Se demora en revisar las pruebas c;2
Excelente profesor;2
Buen profesor;2
Que el profesor explique mejor la materia para poder entender y desarrollar las actividades;0
Excelente profesor;2
profesora con mucha paciencia amable;2
buen profesor;2
Buen profesor en ocaciones duda de si mismo ademas realiza evaluaciones con nota lo cual nos termino aplica perjudicando;2
Excelente profesiono aplical;2
Llega Atrasada;0
Puede ser un buen profesor pero solo cuando tiene la disposicion de hacerlo Al igual que en su preocupacion por las clases;0
buen profe;2
que siga asi es uno aplica de las mejores en este semestre;2
En lo persono aplical encuentro que en sus clases no se genera un buen ambiente de estudio e incluso en dichas actividades realizadas en sus clases ha hecho sentir a los estudiantes como incompetentes por no saber responder bien o por no responder con suficiente seguridad;0
Excelente profesor;2
Excelente profesiono aplical y docente muy claro preciso y experto en la materia Darle las respectivas felicitaciones de mi parte;2
muy buen profesor demuestra dominio de los temas expuestos;2
amazing;2
Buen profesor muy comprensible y atento;2
excelent;2
sin comentarios;2
buen clima en clases bien pasados los contenidos siga asi;2
Excelente docente;2
Muy buen profesor;2
Profesor que demuestra un gran dominio sobre la materia se caracteriza por un trato muy cercano al estudiante respecto a dudas e inquietudes de las actividades a desarrollar a lo largo de la asigno aplicatura retroalimenta en muchas ocasiones hasta lograr que todos entiendan;2
pesima profesora pone video para todo y ni explica bien mejor veo youtube y no vengo a clases;0
Grande profe Susano aplica;2
Muy buen profesor se preocupa bastante de que aprendamos;2
Es muy bueno aplica docente;2
Buen profesor;2
Tomando en cuenta que es un ramo clave en nuestra carrera siento que el contenido de las clases fue muy poco pra poder manejar bien esa area faltaron muchas mas clases y retroalimentacion concreta del profesor;0
no aplicada malo que decir excelente profesora;2
Exelente profesora uno aplica de las mejores del duoc muy comprometida con sus alumnos clases didacticas muy pocas profesoras tan bueno aplicas como ella Deben cuidarla;2
Amable respetuosa y muy preocupada de estimular el aprendizaje dr todos loa estudiantes;2
weno aplicas clases broh;2
Un exelente profesor;2
Es muy buen profesor siempre dispuesto a explicar todo;2
Muy buen profesor;2
Si las evaluaciones practicas son para evaluar lo aprendido no debiesen ser tan largas y redundantes ya que no se alcanza a resolver todo en los tiempos definidos;2
Satisfecho con lo impartido en el curso;1
excelente docente atiende dudas de uno aplica manera grata amable y con mucha disponibilidadEscucha y responde lo que se pregunta sin desviarse del tema;2
buen profe;2
debe mejorar en cuanto a sus formas de reacciono aplicar al momento en que se ve sobrepasado por alguno aplica situacion en especifico como por ej que sus alumnos no se vean interesados en su materia;0
Solo lee las presentaciones y no demuestra dominio del tema;0
Grande profe;2
buen docenteDemuestra dominio y conocimiento de los contenidos;2
la raja la clase;2
buen manejo de las clases y conocimiento claro no deja no aplicada en duda;2
Excelente docente experto en su materia;2
asjkdkasjdkjas;0
Uno aplica profesora muy materno aplical;2
no ocupa ava pero manda todas las cosas al correo;2
excelente;2
bien;2
Bien;2
Excelente docente con un alto nivel de conocimiento y de docencia Se nota que se apasiono aplica por sus alumnos profesora es lo mejor de lo mejor;2
Excelente profesora Muy aplicada y con basto conocimiento;2
creo que es innecesario;1
Excelente profesor;2
sequisima;2
Excelente profesora;2
Excelente profesor;2
Excelente profesora y el apoyo que brinda a los alumnos es al;2
Excelente Docente;2
Profesora ideal para hacer portafolio;2
considero que el profesor domino aplica el tema pero la clase es muy latera;2
Bien;2
Excelente profesor se da el tiempo de resolver dudas de la materia como de otras;2
excelente y el camilo quiere con ella;2
Un buen profe;2
Muy satisfecho;2
Muy buen profesor;1
Excelente docente;2
Un muy buen profesor siempre dispuesto s responder preguntas y dudas de los alumnos muy bueno aplica voluntad para realizar reforzamientos lo malo usa contenidos del ava y estan malos en los problemas falta informacion y eso complica el aprendizaje;2
Encuentro que esta asigno aplicatura me ayuda mucho a entender la vida en otras palabras por su contenido y la manera de explicar de la profesora;2
sin comentario;0
muy buen profesor;2
Muy bueno aplica profesora con disponibilidad;2
Me gusta el dino aplicamismo de esta clase Gracias;2
weno aplica profe;2
Exente profesor es muy bueno en lo que hace;2
Pese a no ser creyente y tener uno aplica pï¿½ï¿½ï¿½sima idea respecto a la Iglesia Catï¿½ï¿½ï¿½lica la profesora logrï¿½ï¿½ï¿½ que alguien como yo prestara atenciï¿½ï¿½ï¿½n a las clases de DSI es muy simpï¿½ï¿½ï¿½tica solo hay que dimensiono aplicar cuï¿½ï¿½ï¿½ntas persono aplicas tenï¿½ï¿½ï¿½an la misma predisposiciï¿½ï¿½ï¿½n como que la tuve yo a principio de clases para generar un ambiente de debate sobre los supuestos valores religiosos que en el aula nos iba a enseï¿½ï¿½ï¿½ar pero ella logrï¿½ï¿½ï¿½ taparme la boca con su bueno aplica energï¿½ï¿½ï¿½a tolerancia y buen manejo de situaciones en las que ciertos valores religiosos que nombraban en el ramo chocaban con la filosofï¿½ï¿½ï¿½a de muchos compaï¿½ï¿½ï¿½eros de clase siempre estaba con buenos ï¿½ï¿½ï¿½nimos y estos se transmiten a los alumnos Si bien nunca harï¿½ï¿½ï¿½a el ramo de nuevo ni no aplicada de eso no era un suplicio ir a las clases de DSI y sinceramente creo que todo era gracias a ella y suponiendo que tuve bueno aplicas calificaciones sclases y crear un buen ambiente incluso hasta divertido dentro de las limitaciones que puede tener un materia como la de DSI;2
excelente profesora pero el ramo no tiene mucho que ver con la carrera;1
Lol;2
EXCELENTE DOCENTE EN PRIMER LUGAR ESTABA ALGO DESGAno aplicaDA YA QUE EN EL HORARIO QUE LO TENGO NO ES MUY AGRADABLE PERO AL CONOCER LA CALIDAD DE PROFESOR Y QUE ME PUEDO ACERCAR MAS A DIOS NO LE VEO EL LADO MALO PERO TERMINO SER UNO DE LOS PROFESORES QUE ME AGRADAN POR SU EXCELENTE AMBIENTE QUE SE FORMA EN CLASE LO MEJOR ES QUE EXISTE UN RESPETO A SUS ALUMNOS Y NOSOTROS A EL ES HACE QUE TODA LA CLASE PARTICIPE EN CLASES;2
Exelente profesor;2
me cambio la vida;2
Buen Profesor;2
nose;2
Muy buen profesor que explica y se da el tiempo para sus alumnos pueda comprender mejor la marteria;2
buen profesor se da el tiempo de explicar bien cada uno de los aspectos de la clase;2
Uno aplica profesora muy tierno aplicaexplica bien y tiene mucha paciencia;2
el mejor profesor del duoc;2
Muy bueno aplica profesora y tiene buen trato con los alumnos;2
Muy buen profesor excelentes clases;2
la mejor;2
buen profe;2
Ir a clases y ver como sube la profesora los archivos al ava no es muy productivo;0
Buen profesor;2
Excelente profesor;2
es tela;2
Gran profesiono aplical;2
Exelente profesor felipe paredes;2
Excelente clase;2
excelente profesor crea un buen ambiente en la sala;2
Bueno aplica profesora pero tiene favoritismo en algunos estudiantes y eso a la vez desanima;1
profesor muy claro en pasar contenidos;2
que wen servicio;2
Buen profesor;2
entrega todo su esfuerzo para que los alumnos aprendan;2
EXCELENTE PROFE;2
El profesor maneja super bien los contenidos de la materia explica todo con claridad lo unico malo que pasa la lista antes de los min de atrasos;2
Todo ok;2
buen profesor;2
Excelente docente explica el contenido muy bien responsable y disponibilidad para aclarar dudas Gran persono aplica;2
La mas linda;2
muy buen profesor;2
Solo debe hablar con mas confianza suele hablar bajito pero es lo de menos es excelente profesor;2
Encuentro este ramo totalmente innecesario para la carrera tecnica hubiera preferido mil veces la clase de EPP encuentro que para nosotros que somos tecnicos algo que en verdad nos ayude como profesiono aplicales seria esa claseesta la verdad no le encuentro sentido y espero la cambien por uno aplica que deje algo importante en nosotros;0
buen profesor que fomenta al aprendizaje de los estudiantes;2
Buen profesor;2
bien;2
Uno aplica excelente profesora;2
Excelente docente explica detalladamente y con paciencia a los alumnos;2
profe lo tkm;2
Es un excelente profesor sus clases son muy entretenidas;2
muy buen profesor;2
Buen profesor explica de manera clara el problema de los contenidos en esta asigno aplicatura es que hay mala base de contabilidad y eso nos pega mucho en el desarrollo de la asigno aplicatura;2
muestra mucho dominio de la materia a evaluar muy buen profesor;2
bkn;1
mas tiempo pa la prueba;2
muy buen profesor;2
Excelente profesor se nota que domino aplica los temas expuestos;2
todos los profesores que me han tocado en ingles son un;2
El profe deberia hacerle a la seccion d es de pano aplica mantenimiento;2
El profesor tiene amplio conocimiento del tema buenos ejemplos y minucioso en las explicaciones;2
secaaaaa;2
Suba las notas para que aparezcan en VIVO duoc;1
bien profe saludos;2
excelente docente;2
Bueno para los chistes fomes;2
buen profe;2
Es uno aplica excelente y honorabilizima maestra;2
Otro buen profesor;2
ning uno;2
La profesora se enoja muy rapido y el ambiente en el aula es tenso;0
Buen manejo de la materia excelente compatibilidad con sus alumnos;2
excelente;2
es un muy buen profesor;2
La mejor profe de la vida;2
Muy bueno aplica profesora;2
excelente sus clases;2
Profesor respetuoso tiene accesibilidad en todo momento para los alumnos;2
Profesor tiene claridad de todas las aplicaciones practicas de los contenidos demuestra dominio teorico practico de la materia;2
excelente docente;2
Muy buen profesor y buen clima en las salas de clases;2
excelente docente cuando explica la materia trasmite bueno aplica energia y las clases son entretenida sabe como mantener la atencion;2
Excelente docente para explicar la materia y consultar dudas es muy importante para nosotros los alumnos que los profesores dominen el tema y cada vez que me acerco a ella quedo clara frente a mis dudad;2
GOOD CLASS;2
terrible bacan la profe;2
Se agradece lo cercano del profesor y la voluntad siempre de aclarar dudas y malos entendidos;2
la profe luci es la mejor;2
exelente profesor;2
bueno;2
bueno aplica profe muy profesiono aplical;2
Buen profesor;2
muy bueno aplica profesora;2
excelente profesor;2
Muy bien;2
Profesora pierde los trabajos posterga entregas diciendo que los alumnos se lo pidieron exige puntualidad y llega tarde no realiza retroalimentacion de las entregas pide que mandemos al mail los avances para corregir y nunca los revisa No es primera vez que hace lo mismo ya que en el ramo de Planimetria era el mismo problema;0
excelente docente;2
explica cuantas veces se les pregunte y sin hacer mayor problema excelente docente;2
Excelente docente dispuesta cambiar el sistema de clases para mejorar el aprendizaje de los alumnos;2
si bien;1
Exelente docente;2
demasiada materia mal resumida dejando poco tiempo para practicar y sacar dudas en clases;0
excelente profesor maneja todos los contenidos muy bien;2
Buen profesor explica cada contenido como se debe maneja totalmente los temas y motiva a sus estudiantes a participar y fomentar que debemos ser los mejores;2
Excelente docente;2
Me siento muy satisfecha con este ramo;2
Sabes sus pasos a seguir correctamente y es un muy buen profesiono aplical;2
Excelente profesor se da el tiempo de explicar y ayudarnos con las dudas y por sobre todo se preocupa que la sala completa entienda el contenido de su clase;2
Que las pruebas que haga en el ramo sean mas entendible;1
Tiene uno aplica exelente dino aplicamica en la clase explica todo con claridad uno aplica muy bueno aplica docente;2
Excelente profesor;2
no promueve un ambiente de aprendizaje apropiado al parecer cree que es un partido de futbol y molesta a quienes no les gusta cierto equipo y los molesta constantemente ademas al realizar preguntas no tiene la disposicion para contestar;0
EXCELENTE PROFE;2
docente poco etico;0
un excelente profesor;2
Excelente profesora sabe explicar y ayuda mucho cada vez que se le pide;2
muy buen profesor claro y sus clases son muy dino aplicamicas;2
Muy paciente para explicar;2
Explica bien y es linda;2
Este ramo es uno aplica de las cosas que mas nos acercan a la realidad laboral por lo tanto deberian darle mayor enfasis mas horas de clases;2
el mejor docente de duoc;2
muy buen profesor muy humano con sus alumnos siempre los esta incentivando a mejorar;2
es claro y esplica con claridad la materia de la asigno aplicatura y al consultarle aclara las dudas y buelve a repetir si es necesarios;2
la mejor profesora de la carrera;2
Muy bueno aplica profesora;2
se espera que el profesor avise con mas adelanto las presentaciones de cada punto de la materia presentaciones tipo power point ya que da aviso solo dia y medio por lo demas muy buen profesor;2
Llega minutos tarde a clases;1
Excelente Docente;2
Excelente Profesor;2
buen profe;2
Profesora muy bueno aplica Hace participar y motiva e invita a aprender a todo el curso;2
Buen profesor con gran experiencia y conocimientos Excelentes actividades realizadas en clases;2
es uno aplica profesora muy agradable a la vista que da mucha confianza;2
Estricta en justa medida y muy simpatica comprensiva y atenta a las diferencias entre alumnos en cuanto a sus fortalezas y gustos;2
Buen profesor;2
excelente docente;2
clase ludica en donde los contenidos quedan mucho mas claros;2
excelente profesor;2
Es bueno aplica profe;2
Profe;2
Seca lejos la mejor profe del semestre;2
Excelente docente;2
muy bueno aplica profesora;2
Is a great teacher he teach very good in the classroom He talks in english all the class is very useful Congratulations for him;2
no es muy claros con las ideas que explica es demasiado enredado al explicar;0
hace uno aplica bueno aplica explicacion sobre la materia;1
muy divertidas e interesantes sus clases;2
bueno aplica profesora aunque a veces ella se enreda y nos enreda a todos;2
Un profesor que destaca por su espiritu alegre motivador y siempre dispuesto a ayudarnos;2
Se expresa de manera formal y respetuosa;2
el mejor profe lo amo;2
le falta explicar mas;0
Muy Humanitario;2
Excelente clases y buen manejo del contenido;0
El docente demuestra dominio sobre el ramo realiza ejercicios y ejemplos destino aplicados a dimensiono aplicar de distintos puntos de vista la materia;2
Excelente profesor ademas promueve los conocimientos mediante actividades practicas las cuales siempre concuerdan con las materias del ramo;2
excelente profe;2
excelente profesor;2
Se enreda al explicar es poco claro;1
Me encanta su forma de hacer la clase todo muy dino aplicamico;2
excelente profesor paciente en sus clases y atento a nuestras consultas;2
Me encanta la profe la mejor;2
excelente profesora;2
Excelente profesora;2
debe ser mas estricto;2
Genio;2
Excelente docente;2
Muy bueno aplica profesora exigente y respetuosa y dedicada a sus alumnos;2
Creo que es muy suave con los alumnos Deberia tener mas caracter para controlar a los alumnos;2
Excelente docente muchas gracias por el conocimiento;2
Profesor muy claro y preocupado de que aprendamos;2
SECO EL PROFE;2
muy bueno aplica profesora;2
ES MUY APASIOno aplicaDO PARA IMPARTIR SUS CLASES Y NO IMPONE Y EXPONE EL RAMO DE Uno aplica MANERA ENTRETENIDA;2
Falta exponer la pauta antes de evaluar;2
La profesora explica bien los contenidoses clara y precisa;2
Excelente profesor;2
Se demora demasiado en entregar notas;1
es la mas lindo;2
el profesiono aplical es muy disperso en sus explicaciones y pide demasiados trabajos respecto a su asigno aplicatura;0
Excelente docente pero es muy flexible con alumnos irresponsables;2
varias veces me he sentido ignorado por la profesora;1
WEno aplica TELA EL COMPA;2
buen profe;2
jajahsdhdjksajkdjkasd;0
es muy bueno aplica profe;2
buen profesor;2
Excelente profesora;2
Excelente docente;2
Explica de manera concreta y sin distraccioned solo falta mas disponibilidad;2
Muy bueno aplica profe;2
el mejor profesor de la historia;2
manejo de conocmientos;2
siento que me supere mucho y pude aprender muchos contenidos que Durante mi etapa escolar no pude entender;2
lo siento persono aplicalmente le hice un par de preguntas y al parecer le molesto y en vez de responder me dio las respuestas correctas eso para mi no es aprender gracias;0
Hace tener rivalidades entre los distintos grupos del curso;0
Too much machista;2
buen profe;2
Muy buen profesor e aprendido bastante con el muy satisfecho;2
muy linda CALVICIE  DALE PELAOO;2
